ID,EN Title,EN Keywords,References
ba03001,creation,Adam; Eve; Garden of Eden,GEN01; GEN02
ba03002,Abraham sacrificed a ram instead of Isaac.,sheep; altar; son,GEN22
ba03003,Moses and Joshua came down from Mount Sinai with two tablets of the law.,commandments,EXO32
ba03004,God's cloud is over the tabernacle. The Israelites camped around it.,holy; courtyard; camp; wilderness,EXO26; NUM02; NUM09
ba03005,Israelites cross the Jordan River.,Canaan; ark; priests,
ba03006,Joshua set up a stone at Shechem. Israelites commit to serve God with their families.,family; remembrance; promise,JOS24
ba03007,Naomi held Ruth's baby. Obed became the grandfather of King David.,grandmother; lineage; nurse,RUT04
ba03008,Samuel anointed David to be the next king of Israel.,anoint; oil; shepherd,1SA16
ba03009,The Israelites rejoice. The ark of the covenant is brought on a cart pulled by oxen.,music; instruments; celebration,
ba03010,The queen of Sheba visits with King Solomon.,gifts; caravan; camel,1KI10; 2CH09
ba03011,The Babylonians conquer Jerusalem and set fire to the temple.,destroy; Nebuzaradan; captain,2KI25; 2CH36
ba03012,Ezra reads from the law before the people.,scroll,NEH08
ba03013,a shepherd watches his sheep.,staff; herd,
ba03015,A man wears sackcloth and ashes.,repent; mourn,DAN09; JOB42; MAT11
ba03016,The potter shapes a pot from clay.,create; jugs; jars,JER18
ba03017,Israelites living in the country,,
ba03018,a fishing village by the sea of Galilee,country; seaside,
ba03019,Jesus taught the people from the boat.,crowd; seaside; teach,MAT13; MRK04; LUK05
ba03020,a small town in Israel,cattle; homes; mule; shepherd; community,
ba03021,Jesus' disciples pick wheat on the Sabbath day.,field; grain,MAT12; MRK02; LUK06
ba03022,Jesus had his disciples feed the crowd of people.,4000; 5000; loaves; fish; baskets,
ba03023,Jewish house in Israel,family; dwelling,
ba03024,Jesus healed many sick people.,crowd; heal; miracle,MAT04; MAT09; MRK01; MRK03; LUK04; LUK05 LUK06
ba03025,a meeting inside the synagogue,Israel; priest; scroll; candelabra,MAT04; 9; 12; 13; MRK01; 23;39; 3; 6; LUK04; 44; 6
ba03026,A light from heaven shone on Saul.,Damascus; brilliant; blind,ACT09; ACT22; ACT26
ba03027,Jesus met with his disciples after his resurrection.,scars; hands,LUK24; JHN20; JHN20
ba03028,Servants fill the jars with water. Jesus changes it into wine.,Cana; first; miracle; wedding,JHN02
ba03029,the Samaritan woman,Jesus; well; thirst,JHN04
ba03030,A good shepherd protects his sheep.,prey; rod; lamb,JHN10
ba03031,Jesus was crucified on a cross.,crucify; Golgotha; onlookers; Mary,MAT27; MRK15; LUK23; JHN19
ba03032,Mary and Joseph looked for a place to stay in Bethlehem.,inn,LUK02
bk00004,A shepherd leads his sheep.,pasture,GEN04; 1SA16; PSA23; PSA79; JHN10
bk00005,The shepherd finds the lost sheep.,wandered,MAT18; LUK15
bk00007,The shepherd carries a lamb.,sheep,PSA23; PSA79; JHN10
bk00008,A male sheep was caught in the thicket.,bushes; ram,GEN22
bk00010,The shepherd protects his sheep.,wolf,PSA23; EZK34
bk00016,sheep and goats,,GEN27; EXO12; LEV16
bk00023,frogs,plague,EXO08; PSA105
bk00026,hippopotamus,,JOB40
bk00043,dogs,,MAT15; LUK16
bk00045,wolves,jackal; wolf,GEN49; ISA11; ISA65; MAT07; MAT10; LUK10; JHN10; ACT20
bk00049,leopard,,JER13; HOS13
bk00050,fox,,JDG15; MAT08; LUK09
bk00051,fox,den,JDG15; MAT08; LUK09
bk00053,lizards,,LEV11
bk00056,a chameleon and lizards,,LEV11
bk00058,scorpion,,DEU08; EZK02; LUK10
bk00059,locusts eat leaves,,EXO10; DEU28; JOL01; MAT03; MRK01
bk00062,the rooster crowed,,MAT26; MRK14; LUK22; JHN13; JHN18
bk00066,doves,bird; pigeon,GEN15; LEV01; LUK02
bk00067,doves,bird; pigeon,GEN15; LEV01; LEV12; LEV14; NUM06; LUK02
bk00069,owl on ruins,,ISA13; ISA34; JER09
bk00073,vultures on ruins,,DEU14; MAT23; LUK13
bk00074,a vulture,,DEU14; MIC01
bk00090,cedar tree,,LEV14; 2SA05; 2SA07; 1CH14; 1CH17; 1CH22; 2CH2; 2CH3
bk00116,frankincense,altar; incense; censer,SNG03; SNG04; MAT02
bk00119,myrrh,,SNG03; SNG04; MAT02; MRK15; JHN19
bk00154,seven lamps on stands,lampstand,MAT05; MRK04; LUK08; LUK11; REV04
bk00157,a wreath,victor; crown,1CO09; 2TI04
bk00158,the king's crown,,2SA05; 2KI11; 1CH11; 2CH23; PHP04; 1TH02; 2TI04; JAS01; 1PE05; REV02
bk00174,musical instruments,,
bk00175,musical instrument: harp,,1CH13; PSA33; PSA147; DAN03
bk00176,musical instrument: lyre,,1CH13; PSA57; DAN03
bk00177,musical instrument: flute,,1KI01; ISA05
bk00178,musical instrument: double pipe,,1SA10; 1CO14
bk00179,musical instrument: ram's horn,cornet; shofar,LEV25; JOS06; 1KI01; 1KI01; 2KI09; 1CH15; 2CH15; PSA47
bk00180,musical instrument: trumpet,,1CH13; 1CH15; 2CH05; 2CH15
bk00181,musical instrument: sistrum,,1SA18
bk00182,musical instrument: sistrum,,1SA18
bk00183,musical instrument: cymbals,,1CH15; 1CH25; EZR03; NEH12; 1CO13
bk00184,musical instrument: a tambourine,timbrel,GEN31; EXO15; JDG11; 1SA10; 2SA06
bk00278,inside the tabernacle,altar; incense; candlestick; lampstand; priest,EXO25; EXO31; EXO35; EXO37; EXO39; EXO40; LEV24; 1SA21; MAT12; MRK02; LUK01; LUK06; HEB05; HEB09
bk00360,Bethlehem,town,ISA16; ISA20; MIC05; MAT02; LUK02
bk00361,Bethlehem,town,MAT02; LUK02
bk00362,walls of Jericho,,NUM13; DEU01; DEU03; JOS06; MAT20; MRK10; LUK18; LUK19; HEB11
cn01600,Jesus with children,,MAT19; MRK10; LUK18
cn01601,A soldier orders the man to carry the trunk.,Roman,MAT05
cn01602,Zacharias serves in the temple.,priest; ephod,LUK01
cn01603,Zacharias leaves the temple.,mute; speechless,LUK01
cn01604,Zacharias and Elizabeth,husband; wife,LUK01
cn01605,Zacharias and Elizabeth,speechless; tablet,LUK01
cn01606,An angel visits Mary.,Gabriel; favored,LUK01
cn01607,Mary travels to her cousin Elizabeth.,,LUK01
cn01608,Mary and Joseph in the carpenter's workshop,woodwork; occupation,
cn01609,Elizabeth greets her cousin Mary.,,LUK01
cn01610,Mary praises God,song,LUK01
cn01611,John the Baptist,baby; Elizabeth; Zacharias,LUK01
cn01612,Zacharias and John the Baptist,baby,LUK01
cn01613,Mary and Joseph in a courtyard,,MAT01
cn01614,Mary travels on a donkey to Bethlehem.,census; pregnant; Joseph,LUK02
cn01615,Mary and Joseph request shelter from the innkeeper.,Bethlehem,LUK02
cn01616,Mary and Joseph stay in the innkeeper's stable.,cattle; straw; shelter,LUK02
cn01617,Baby Jesus is lying in a manger in the stable.,lamb; cattle; Savior,
cn01618,shepherds with sheep,flocks,LUK02
cn01619,The angels appear to the shepherds.,sheep; glory,LUK02
cn01620,The angel speaks to the shepherds.,sheep; glory,LUK02
cn01621,The angels appear to the shepherds.,sheep; multitude; heavenly; glory,LUK02
cn01622,The shepherds are outside the stable,Bethlehem; seek,LUK02
cn01623,The shepherds bow and worship Jesus.,manger; infant; Savior,LUK02
cn01624,The shepherds enter the stable.,Mary; Joseph; infant; Jesus; worship,LUK02
cn01625,The shepherds are in the stable with baby Jesus.,manger; worship,LUK02
cn01626,Wise men from the east watch the star.,scholars; Magi,MAT02
cn01627,Wise men discuss the star.,scholars; east; Magi,MAT02
cn01628,The star guides the wise men.,scholars; east; Magi,MAT02
cn01629,The wise men follow the star to the town.,camels; Magi; scholars,MAT02
cn01630,The wise men seek for Jesus.,birth; camels; Magi,MAT02
cn01631,Herod with priests,disturbed; troubled,MAT02
cn01632,The wise men worship Jesus.,Magi; Joseph; Mary,MAT02
cn01633,The wise men and camels are in the courtyard.,,MAT02
cn01634,An angel visits Joseph in a dream.,warning; flee; Egypt,MAT01
cn01635,Herod,king; troubled; disturbed,
cn01636,Herod,king; troubled; disturbed,
cn01637,"Mary, Joseph and Jesus leave in the night for Egypt.",flee,MAT02
cn01638,town of Bethlehem,,
cn01639,Mary rides on a donkey.,Joseph,LUK02
cn01640,Baby Jesus in a manger,straw; swaddle,LUK02
cn01641,The wise men follow the star.,Magi; scholars,MAT02
cn01642,A host of angels announce the birth to shepherds.,praise,LUK02
cn01643,"Mary, Joseph and the child Jesus enter Nazareth.",,MAT02; LUK02
cn01644,"Mary, Joseph and the boy Jesus",family,LUK02
cn01645,"Mary, Joseph and the boy Jesus",family,LUK02
cn01646,Mary and Joseph without Jesus,journey; Jerusalem,LUK02
cn01647,The boy Jesus es with Mary and Joseph in the temple.,scholars; questions; passover,LUK02
cn01648,The boy Jesus talks with the temple teachers.,scholars; questions,LUK02
cn01649,Mary with teacher,a scroll; scholar,LUK02
cn01650,John the Baptist in the wilderness,forerunner; camel hair,MAT03; MRK01; LUK03; JHN01
cn01651,John the Baptist in the wilderness,forerunner; witness; camel hair,MAT03; MRK01; LUK03; JHN01
cn01652,John the Baptist is with onlookers.,preacher; witness; forerunner,MAT03; MRK01; LUK03; JHN01
cn01653,John the Baptist preaches,witness; forerunner,MAT03; MRK01; LUK03; JHN01
cn01654,John the Baptist is with Jesus.,teach,MAT03; MRK01; LUK03; JHN01
cn01655,winnowing and gathering grain,harvest,MAT03; LUK03
cn01656,Holy Spirit descends as a dove on Jesus. He is baptized by John the Baptist.,Jordan,MAT03; MRK01; LUK03; JHN01
cn01657,Jesus in the wilderness,forty days; temptation,MAT04; MRK01; LUK04
cn01658,Jesus is tempted in the wilderness.,forty days,MAT04; MRK01; LUK04
cn01659,Jesus is tempted in the wilderness.,forty days,MAT04; MRK01; LUK04
cn01660,"John the Baptist, two men and Jesus",witness; forerunner,MAT03; MRK01; LUK03; JHN01
cn01661,Jesus with two disciples,fishermen,MAT04; MRK01; LUK05;JHN01
cn01662,Andrew calls Peter.,Simon; brother; fishermen,MAT04; MRK01; LUK05;JHN01
cn01663,"Jesus, Andrew and Peter",Simon; disciples,MAT04; MRK01; LUK05;JHN01
cn01664,Philip calls Nathanael.,fig tree; Israelite,JHN01
cn01665,"Jesus, Nathanael and Philip",Rabbi; disciples,JHN01
cn01666,Jesus talks to a man.,wedding; servant,JHN02
cn01667,Jesus turns water into wine.,wedding; Cana; miracle,JHN02
cn01668,Jesus heals a crippled man.,miracle; praise,MAT04; MRK03; LUK06
cn01669,John the Baptist with a rich man,questions; teaching,JHN03
cn01670,Jesus speaks with Nicodemus.,Pharisee; rabbi; reborn,JHN03
cn01671,Moses and the bronze snake,serpent; cross,NUM21; JHN03
cn01672,Jesus with six disciples,friends; journey,
cn01673,Jesus speaks to the Samaritan woman at the well.,thirst; Sychar,JHN04
cn01674,Jesus speaks to the Samaritan woman at the well.,thirst; living water; Sychar,JHN04
cn01675,The Samaritan woman calls her friends.,Sychar,JHN04
cn01676,Jesus is at the well with the disciples.,Samaria,JHN04
cn01677,The Samaritan woman and her friends come to Jesus at the well.,testimony; disciples,JHN04
cn01678,Jesus teaches in the synagogue.,scroll; scholars,MAT13; MRK06; LUK4
cn01679,Jesus with angry Jews,unbelief; Nazareth,MAT13; MRK06; LUK4
cn01680,Jesus is at a cliff top with angry Jews.,enraged; Nazareth; rejection,LUK04
cn01681,Jesus calls Andrew and Peter.,Simon; fishermen; disciples,MAT04; MRK01; LUK05;JHN01
cn01682,Jesus calls James and John.,fishermen; disciples; follow,MAT04; MRK01; LUK05
cn01683,Jesus heals a blind beggar.,sight; miracle,MRK08; MRK10; LUK18
cn01684,A paralyzed man is carried by friends.,crowd; roof,MAT09; MRK02; LUK05
cn01685,A paralyzed man is lowered through the roof to Jesus.,friends; crowd,MAT09; MRK02; LUK05
cn01686,The friends of a paralyzed man make a hole in a roof.,Jesus; tiles,MAT09; MRK02; LUK05
cn01687,Jesus heals the paralyzed man.,miracle,MAT09; MRK02; LUK05
cn01688,Jesus stands with hands open.,teaching; compassion,
cn01689,The paralyzed man carries his mat after being healed.,praise; miracle,MAT09; MRK02; LUK05; JHN05
cn01690,scribes and Pharisees,hypocrites; accusers,
cn01691,"Jesus calls Matthew, the tax collector.",Levi,MAT09; MRK02; LUK05
cn01692,Jesus,,
cn01693,"Jesus calls Matthew, the tax collector.",Levi,MAT09; MRK02; LUK05
cn01694,Jesus eats with Matthew and his friends.,scribes; Pharisees; tax collectors; sinners,MAT09; MRK02; LUK05
cn01695,Jesus heals a man with a crippled hand on the Sabbath.,withered; shriveled; deformed; paralyzed,MAT12; MRK03; LUK06
